Depth(m),Voltage(V),Current(mA),# Counts
4.7,0.866304,5.775357,17204
4.725,0.851801,5.678676,16916
4.75,0.92114,6.140932,18293
4.775,0.902559,6.017059,17924
4.8,0.971847,6.478981,19300
4.825,1.046825,6.978836,20789
4.85,0.898581,5.99054,17845
4.875,0.92114,6.140932,18293
4.9,0.869526,5.796841,17268
4.925,0.886445,5.909636,17604
4.95,0.860664,5.737758,17092
4.975,0.813935,5.42623,16164
5,0.846967,5.646449,16820
5.025,0.944504,6.296696,18757
5.05,0.835688,5.571252,16596
5.075,0.803461,5.356405,15956
5.1,0.905832,6.03888,17989
5.125,0.821186,5.474571,16308
5.15,0.925974,6.173159,18389
5.175,0.992039,6.613596,19701
5.2,0.85019,5.667933,16884
5.225,0.920334,6.135561,18277
5.25,0.913889,6.092592,18149
5.275,1.008103,6.720684,20020
5.3,0.993651,6.624338,19733
5.325,0.88564,5.904265,17588
5.35,0.981566,6.54377,19493
5.375,1.015354,6.769024,20164
5.4,0.707535,4.716899,14051
5.425,0.707535,4.716899,14051
5.45,0.61322,4.088136,12178
5.475,0.648721,4.324803,12883
5.5,0.651138,4.340917,12931
5.525,0.715592,4.770611,14211
5.55,0.992795,6.618631,19716
5.575,0.771234,5.141558,15316
5.6,0.955784,6.371893,18981
5.625,0.898531,5.990203,17844
5.65,0.875166,5.83444,17380
5.675,0.680142,4.534279,13507
5.7,0.987155,6.581033,19604
5.725,1.07583,7.172198,21365
5.75,0.954122,6.360815,18948
5.775,0.903365,6.022431,17940
5.8,0.929146,6.194308,18452
5.825,0.744646,4.964309,14788
5.85,0.919478,6.129854,18260
5.875,0.827631,5.51754,16436
5.9,1.021044,6.806958,20277
5.925,0.816352,5.442344,16212
5.95,0.875972,5.839811,17396
5.975,0.722843,4.818952,14355
6,0.962985,6.419898,19124
6.025,0.962229,6.414862,19109
6.05,0.88,5.866667,17476
6.075,0.903415,6.022767,17941
6.1,0.724454,4.829694,14387
6.125,0.824358,5.49572,16371
6.15,0.950144,6.334294,18869
6.175,0.609192,4.06128,12098
6.2,0.769572,5.13048,15283
6.225,0.817157,5.447715,16228
6.25,0.726065,4.840436,14419
6.275,0.622939,4.152925,12371
6.3,0.699478,4.663188,13891
6.325,0.611609,4.077394,12146
6.35,0.788103,5.254017,15651
6.375,0.703507,4.690043,13971
6.4,0.602747,4.018311,11970
6.425,0.942843,6.285618,18724
6.45,0.880806,5.872037,17492
6.475,0.895308,5.968719,17780
6.5,0.996068,6.640451,19781
6.525,0.892085,5.947234,17716
6.55,0.798627,5.324178,15860
6.575,0.975926,6.506172,19381
6.6,0.96948,6.463203,19253
6.625,0.850996,5.673305,16900
6.65,0.931614,6.210758,18501
6.675,0.765594,5.10396,15204
6.7,0.97507,6.500465,19364
6.725,0.882417,5.882781,17524
6.75,0.867109,5.780728,17220
6.775,0.876777,5.845181,17412
6.8,0.891279,5.941863,17700
6.825,0.803461,5.356405,15956
6.85,0.899336,5.995575,17860
6.875,0.906587,6.043915,18004
6.9,0.780096,5.200641,15492
6.925,0.861469,5.743129,17108
6.95,0.996873,6.645823,19797
6.975,0.933225,6.2215,18533
7,0.875972,5.839811,17396
7.025,0.894502,5.963347,17764
7.05,0.949339,6.328923,18853
7.075,0.84455,5.630334,16772
7.1,0.97507,6.500465,19364
7.125,0.720426,4.802838,14307
7.15,0.799432,5.329549,15876
7.175,1.028295,6.855299,20421
7.2,1.030712,6.871412,20469
7.225,0.896113,5.97409,17796
7.25,0.788153,5.254353,15652
7.275,0.872749,5.818326,17332
7.3,0.979954,6.533028,19461
7.325,0.981566,6.54377,19493
7.35,1.120142,7.467612,22245
7.375,0.847773,5.65182,16836
7.4,1.058105,7.054031,21013
7.425,0.919478,6.129854,18260
7.45,0.863886,5.759243,17156
7.475,0.871138,5.807584,17300
7.5,0.672085,4.480567,13347
7.525,0.761515,5.076768,15123
7.55,1.180568,7.870451,23445
7.575,0.62455,4.163668,12403
7.6,0.753458,5.023056,14963
7.625,0.889668,5.93112,17668
7.65,0.871943,5.812955,17316
7.675,0.984738,6.564919,19556
7.7,0.962179,6.414526,19108
7.725,0.937253,6.248356,18613
7.75,0.835688,5.571252,16596
7.775,0.924312,6.162082,18356
7.8,1.023461,6.823071,20325
7.825,0.924312,6.162082,18356
7.85,0.857441,5.716274,17028
7.875,1.127393,7.515953,22389
7.9,0.905782,6.038544,17988
7.925,1.026683,6.844556,20389
7.95,0.910666,6.071107,18085
7.975,0.809856,5.399038,16083
8,0.78488,5.232532,15587
8.025,0.615637,4.104249,12226
8.05,0.632607,4.21738,12563
8.075,0.723648,4.824323,14371
8.1,0.759098,5.060654,15075
8.125,0.632607,4.21738,12563
8.15,0.675308,4.502052,13411
8.175,0.842133,5.614222,16724
8.2,0.622939,4.152925,12371
8.225,0.747013,4.980087,14835
8.25,0.696255,4.641703,13827
8.275,0.906587,6.043915,18004
