0.886445	5.909636	17604
0.938814	6.258762	18644
1.023461	6.823071	20325
1.143557	7.623713	22710
1.132227	7.548180	22485
0.989572	6.597146	19652
0.933175	6.221164	18532
0.913838	6.092256	18148
0.896919	5.979461	17812
0.904170	6.027802	17956
0.813078	5.420523	16147
0.975070	6.500465	19364
0.897725	5.984832	17828
0.893696	5.957976	17748
1.120192	7.467947	22246
0.985594	6.570626	19573
1.052465	7.016434	20901
0.894502	5.963347	17764
1.038769	6.925124	20629
1.136255	7.575036	22565
0.979098	6.527321	19444
1.121753	7.478355	22277
0.817912	5.452750	16243
0.842133	5.614222	16724
0.926729	6.178195	18404
0.896919	5.979461	17812
0.965402	6.436011	19172
0.889668	5.931120	17668
0.939620	6.264134	18660
0.935592	6.237278	18580
1.047631	6.984207	20805
0.924312	6.162082	18356
1.010570	6.737132	20069
0.842133	5.614222	16724
0.961424	6.409491	19093
0.951705	6.344701	18900
0.972703	6.484687	19317
1.017015	6.780102	20197
1.081520	7.210132	21478
0.965452	6.436347	19173
1.100000	7.333333	21845
1.005736	6.704906	19973
1.045214	6.968094	20757
0.969430	6.462867	19252
0.829242	5.528283	16468
1.046020	6.973464	20773
0.898531	5.990203	17844
1.017821	6.785473	20213
0.809856	5.399038	16083
0.718814	4.792096	14275
0.803410	5.356070	15955
0.763127	5.087510	15155
1.030712	6.871412	20469
0.741373	4.942489	14723
1.020238	6.801587	20261
0.972653	6.484352	19316
1.185402	7.902678	23541
0.987155	6.581033	19604
1.135450	7.569664	22549
0.841327	5.608850	16708
0.935592	6.237278	18580
1.083081	7.220539	21509
1.063745	7.091630	21125
1.004930	6.699535	19957
0.884834	5.898894	17572
0.781657	5.211047	15523
0.845356	5.635706	16788
0.695450	4.636332	13811
0.962985	6.419898	19124
0.672085	4.480567	13347
0.747013	4.980087	14835
0.995212	6.634745	19764
1.025022	6.833478	20356
0.784930	5.232868	15588
1.048437	6.989578	20821
1.010570	6.737132	20069
1.204788	8.031921	23926
1.043603	6.957351	20725
1.093555	7.290364	21717
0.942843	6.285618	18724
0.978292	6.521950	19428
1.119336	7.462241	22229
0.929146	6.194308	18452
1.001657	6.677714	19892
0.917867	6.119112	18228
1.075024	7.166827	21349
1.087109	7.247394	21589
0.938059	6.253727	18629
1.041186	6.941238	20677
0.921140	6.140932	18293
1.042797	6.951979	20709
0.877583	5.850553	17428
1.166871	7.779140	23173
1.006541	6.710277	19989
0.974314	6.495430	19349
0.887301	5.915343	17621
0.905832	6.038880	17989
0.984788	6.565255	19557
0.814740	5.431602	16180
0.949288	6.328588	18852
0.913838	6.092256	18148
0.767961	5.119738	15251
0.848579	5.657190	16852
0.980710	6.538064	19476
0.976681	6.511208	19396
0.659194	4.394629	13091
0.771183	5.141222	15315
0.814690	5.431266	16179
0.726065	4.840436	14419
0.702701	4.684672	13955
0.645498	4.303319	12819
0.905782	6.038544	17988
0.736539	4.910262	14627
0.696255	4.641703	13827
0.709146	4.727642	14083
0.794548	5.296986	15779
0.523790	3.491935	10402
0.700284	4.668558	13907
0.838105	5.587366	16644
0.756681	5.044541	15027
0.705118	4.700786	14003
