1	2.650524	17.670160	52637
2	2.652136	17.680902	52669
3	2.577963	17.186419	51196
4	2.405548	16.036987	47772
5	2.229055	14.860365	44267
6	1.839812	12.265415	36537
7	1.524692	10.164614	30279
8	1.609339	10.728924	31960
9	1.932465	12.883101	38377
10	2.230666	14.871108	44299
11	1.263603	8.424018	25094
12	1.921186	12.807904	38153
13	2.332987	15.553246	46331
14	1.687489	11.249928	33512
15	2.017917	13.452781	40074
16	2.343461	15.623072	46539
17	0.944454	6.296361	18756
18	1.048437	6.989578	20821
19	1.136255	7.575036	22565
20	0.933175	6.221164	18532
21	1.029906	6.866041	20453
22	1.118531	7.456870	22213
