1	2.662559	17.750393	52876
2	2.654502	17.696682	52716
3	2.577157	17.181047	51180
4	2.424028	16.160189	48139
5	2.250757	15.005051	44697
6	1.882513	12.550088	37385
7	1.531138	10.207583	30407
8	1.604454	10.696361	31863
9	1.928437	12.856245	38297
10	2.256397	15.042648	44810
11	1.363507	9.090044	27078
12	1.941327	12.942183	38553
13	2.341849	15.612329	46507
14	1.689906	11.266041	33560
15	2.018672	13.457816	40089
16	2.352323	15.682155	46715
17	0.924312	6.162082	18356
18	1.000851	6.672342	19876
19	1.134644	7.564293	22533
20	0.933980	6.226535	18548
21	0.991989	6.613260	19700
22	1.128199	7.521324	22405
