1	2.560238	17.068254	50844
2	2.533701	16.891340	50317
3	2.347489	15.649927	46619
4	2.198389	14.655925	43657
5	1.990474	13.269825	39529
6	1.897066	12.647104	37674
7	1.502989	10.019928	29848
8	1.699574	11.330496	33752
9	1.315971	8.773143	26133
10	1.404596	9.363973	27893
11	0.531041	3.540276	10546
12	1.095972	7.306477	21765
13	1.659290	11.061936	32952
14	0.844550	5.630334	16772
15	1.146729	7.644862	22773
16	1.488437	9.922911	29558
17	0.086207	0.574716	1712
18	0.286065	1.907103	5680
19	1.064550	7.097001	21141
20	0.872799	5.818661	17333
21	0.707535	4.716899	14051
22	0.799382	5.329214	15875
